date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:27	312/312	---MCZ	200	added ('OK')	text/plain	etag:W/%2221c-Tz8KA5pkjf//HFSgcG1WFNjKET0%22	https://www.karthikjambunathan.com/robots.txt		(from )
22:37:28	488824/488824	---MCZ	200	added ('OK')	text/html	etag:W/%22c04e149d9f03e01449f1c10ffba6e9a4%22	https://www.karthikjambunathan.com/	C:/Users/Karthik/Documents/Portfolio/Showcase/www.karthikjambunathan.com/index.html	(from )
22:37:29	13545/13545	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d17548880fa85fc2de6c905dd05d6b0b%22	https://static.parastorage.com/services/wix-thunderbolt/dist/webpack-runtime.2d16b2f1.bundle.min.js	C:/Users/Karthik/Documents/Portfolio/Showcase/static.parastorage.com/services/wix-thunderbolt/dist/webpack-runtime.2d16b2f1.bundle.min.js	(from https://www.karthikjambunathan.com/)
22:37:29	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Karthik/Documents/Portfolio/Showcase/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.karthikjambunathan.com/)
22:37:30	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/Karthik/Documents/Portfolio/Showcase/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.karthikjambunathan.com/)
22:37:31	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Apr%202025%2002:37:30%20GMT	https://www.karthikjambunathan.com/i	C:/Users/Karthik/Documents/Portfolio/Showcase/www.karthikjambunathan.com/i.3.delayed	(from https://www.karthikjambunathan.com/)
22:37:32	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Apr%202025%2002:37:31%20GMT	https://www.karthikjambunathan.com/t	C:/Users/Karthik/Documents/Portfolio/Showcase/www.karthikjambunathan.com/t.4.delayed	(from https://www.karthikjambunathan.com/)
22:37:33	2956/2956	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Apr%202025%2002:37:33%20GMT	https://static.wixstatic.com/media/nsplsh_43238f353b4d43dca5ea199627a8f0a1~mv2.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/nsplsh_43238f353b4d43dca5ea199627a8f0a1~mv2.jpg	C:/Users/Karthik/Documents/Portfolio/Showcase/static.wixstatic.com/media/nsplsh_43238f353b4d43dca5ea199627a8f0a1_mv2.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2/nsplsh_43238f353b4d43dca5ea199627a8f0a1_mv2.jpg	(from https://www.karthikjambunathan.com/)
22:37:33	2168/2168	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Apr%202025%2002:37:33%20GMT	https://static.wixstatic.com/media/f68c7b_f4b08d141f1b49ed831ede751b1f78df~mv2.png/v1/fill/w_94,h_75,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/f68c7b_f4b08d141f1b49ed831ede751b1f78df~mv2.png	C:/Users/Karthik/Documents/Portfolio/Showcase/static.wixstatic.com/media/f68c7b_f4b08d141f1b49ed831ede751b1f78df_mv2.png/v1/fill/w_94,h_75,al_c,q_85,usm_0.66_1.00_0.01,enc_avif/f68c7b_f4b08d141f1b49ed831ede751b1f78df_mv2.png	(from https://www.karthikjambunathan.com/)
22:37:34	695289/695289	---MCZ	200	added ('OK')	text/html	etag:W/%224a7a0ed8fde5602bfd3519a71aef3253%22	https://www.karthikjambunathan.com/redesigning-the-ece-website-home-page	C:/Users/Karthik/Documents/Portfolio/Showcase/www.karthikjambunathan.com/redesigning-the-ece-website-home-page.html	(from https://www.karthikjambunathan.com/)
